   INTERVAL        nm        cm-1  Irradiance
          1     121.5     82304.5   0.400E+12
          2     116.7     85726.5   1.030E+08
          3     117.3     85251.5   2.660E+08
          4     117.9     84781.7   1.120E+08
          5     118.7     84281.5   1.240E+08
          6     119.4     83752.1   1.820E+08
          7     120.2     83229.3   1.900E+08
          8     120.8     82747.2   7.400E+08
          9     121.6     82236.8   2.280E+09
         10     122.3     81732.7   3.670E+09
         11     123.1     81234.8   2.352E+09
         12     123.8     80742.8   1.841E+09
         13     124.6     80256.8   1.745E+09
         14     125.4     79744.8   1.596E+09
         15     126.2     79239.3   2.140E+09
         16     127.0     78740.2   1.841E+09
         17     127.8     78247.3   1.153E+09
         18     128.6     77760.5   1.036E+09
         19     129.4     77249.9   1.479E+09
         20     130.3     76746.0   7.076E+09
         21     131.1     76248.6   4.596E+09
         22     132.0     75757.6   1.576E+09
         23     132.9     75272.9   5.695E+09
         24     133.8     74766.4   9.075E+09
         25     134.6     74266.6   2.228E+09
         26     135.6     73773.5   2.760E+09
         27     136.5     73260.1   1.874E+09
         28     137.4     72753.7   2.090E+09
         29     138.4     72254.3   3.657E+09
         30     139.9     71505.2   9.634E+09
         31     141.8     70521.9   7.296E+09
         32     143.9     69516.9   8.385E+09
         33     145.9     68516.6   1.051E+10
         34     148.1     67521.9   1.492E+10
         35     150.4     66511.5   1.576E+10
         36     152.6     65509.3   2.275E+10
         37     155.0     64516.1   3.988E+10
         38     157.4     63512.2   3.756E+10
         39     160.0     62500.0   4.139E+10
         40     162.6     61500.6   5.964E+10
         41     165.3     60496.1   9.503E+10
         42     168.1     59488.4   1.118E+11
         43     170.9     58496.6   1.518E+11
         44     173.1     57753.4   1.251E+11
         45     174.6     57257.4   1.333E+11
         46     176.2     56753.7   1.765E+11
         47     177.8     56243.0   2.215E+11
         48     179.4     55741.4   2.476E+11
         49     181.0     55248.6   3.372E+11
         50     182.7     54734.5   3.619E+11
         51     184.3     54259.4   3.587E+11
         52     186.1     53734.6   4.288E+11
         53     187.8     53248.1   5.418E+11
         54     189.6     52742.6   6.527E+11
         55     191.4     52246.6   7.425E+11
         56     193.2     51759.8   7.525E+11
         57     195.1     51255.8   1.062E+12
         58     197.0     50761.4   1.222E+12
         59     199.0     50251.3   1.351E+12
         60     201.0     49751.2   1.656E+12
         61     203.1     49236.8   1.914E+12
         62     205.1     48756.7   2.377E+12
         63     207.3     48239.3   2.890E+12
         64     209.4     47755.5   4.868E+12
         65     211.6     47259.0   7.960E+12
         66     213.9     46750.8   9.108E+12
         67     216.2     46253.5   8.884E+12
         68     218.6     45745.7   1.166E+13
         69     221.0     45248.9   1.205E+13
