TIME    LON     LAT     TEMP      PRESS   SPECHUM
-11520  192.9   19.33   284.71    76700   0.005117
-11460  192.8   19.2    284.62    76900   0.00522
-11400  192.6   19.06   284.506   77000   0.005304
-11340  192.4   18.92   284.572   77200   0.005455
-11280  192.2   18.78   284.662   77500   0.005638
-11220  191.9   18.64   284.757   77900   0.005808
-11160  191.7   18.51   284.848   78400   0.005896
-11100  191.4   18.37   284.915   78900   0.006003
-11040  191.1   18.23   285.256   79400   0.006242
-10980  190.8   18.11   285.604   79900   0.006473
-10920  190.5   18.01   285.917   80300   0.006698
-10860  190.1   17.92   286.194   80700   0.006937
-10800  189.8   17.84   286.477   81100   0.007178
-10740  189.4   17.79   286.831   81400   0.007369
-10680  189.0   17.74   287.161   81700   0.007567
-10620  188.6   17.71   287.327   82100   0.007715
-10560  188.2   17.67   287.474   82600   0.007884
-10500  187.8   17.64   287.695   83000   0.008133
-10440  187.4   17.62   287.949   83400   0.00847
-10380  187.0   17.6    288.143   83800   0.008769
-10320  186.6   17.58   288.26    84100   0.009024
-10260  186.1   17.56   288.327   84400   0.009256
-10200  185.7   17.53   288.285   84700   0.009412
-10140  185.3   17.5    288.25    85000   0.009572
-10080  184.9   17.47   288.25    85300   0.009722
-10020  184.5   17.44   288.346   85600   0.009864
-9960   184.0   17.39   288.386   85900   0.009982
-9900   183.6   17.34   288.42    86300   0.010027
-9840   183.1   17.29   288.757   86700   0.010022
-9780   182.7   17.23   289.074   87100   0.010036
# convert this text file to netcdf with:
# ./txt2nc.py example_input_physc.txt 'MINUTES since 2006-12-14 14:00'
# Use the following variable names and units:
# time              TIME    (specified as parameter to txt2nc.py)
# longitude         LON     degrees east
# latitude          LAT     degrees north
# pressure          PRESS   Pa
# temperature       TEMP    K
# specific humidity SPECHUM kg/kg
